name,region_gss_code,period,average_price_all_property_types,percentage_change_yearly_all_property_types,percentage_change_monthly_all_property_types,house_price_index_all_property_types,sales_volume_all_property_types,average_price_detached_houses,percentage_change_yearly_detached_houses,percentage_change_monthly_detached_houses,house_price_index_detached_houses,average_price_semidetached_houses,percentage_change_yearly_semidetached_houses,percentage_change_monthly_semidetached_houses,house_price_index_semidetached_houses,average_price_terraced_houses,percentage_change_yearly_terraced_houses,percentage_change_monthly_terraced_houses,house_price_index_terraced_houses,average_price_flats_and_maisonettes,percentage_change_yearly_flats_and_maisonettes,percentage_change_monthly_flats_and_maisonettes,house_price_index_flats_and_maisonettes,average_price_firsttime_buyers,percentage_change_yearly_firsttime_buyers,percentage_change_monthly_firsttime_buyers,house_price_index_firsttime_buyers,average_price_former_owneroccupiers,percentage_change_yearly_former_owneroccupiers,percentage_change_monthly_former_owneroccupiers,house_price_index_former_owneroccupiers,average_price_cash_purchases,percentage_change_yearly_cash_purchases,percentage_change_monthly_cash_purchases,house_price_index_cash_purchases,sales_volume_cash_purchases,average_price_mortgage_purchases,percentage_change_yearly_mortgage_purchases,percentage_change_monthly_mortgage_purchases,house_price_index_mortgage_purchases,sales_volume_mortgage_purchases,average_price_new_build,percentage_change_yearly_new_build,percentage_change_monthly_new_build,house_price_index_new_build,sales_volume_new_build,average_price_existing_properties,percentage_change_yearly_existing_properties,percentage_change_monthly_existing_properties,house_price_index_existing_properties,sales_volume_existing_properties,is_partial_record
East Midlands,E12000004,2015-01-01,147972,5.8,-0.2,62.9,4865.0,221982,5.6,0.0,63.1,137570,6.2,-0.2,62.1,111814,5.7,-0.3,62.5,86173,5.6,-0.2,67.6,125782,5.9,-0.4,62.9,175100,5.7,0.0,62.9,149037,5.7,-0.2,63.3,1665.0,147489,5.8,-0.1,62.7,3200.0,204917.0,6.7,0.2,62.3,400.0,144603.0,5.7,-0.2,62.5,4465.0,False
East Midlands,E12000004,2015-02-01,148493,5.1,0.4,63.1,5071.0,222178,4.8,0.1,63.2,137720,4.9,0.1,62.1,112620,5.3,0.7,62.9,87461,6.9,1.5,68.6,126338,5.0,0.4,63.1,175605,5.1,0.3,63.1,149508,4.8,0.3,63.5,1734.0,148034,5.2,0.4,62.9,3336.0,207150.0,6.0,1.1,62.9,441.0,145019.0,5.0,0.3,62.7,4630.0,False
East Midlands,E12000004,2015-03-01,148992,5.7,0.3,63.3,5751.0,224315,6.6,1.0,63.8,138463,5.3,0.5,62.5,112049,4.7,-0.5,62.6,87013,5.8,-0.5,68.2,126545,5.2,0.2,63.2,176409,6.0,0.5,63.4,149999,5.5,0.3,63.7,1900.0,148536,5.7,0.3,63.1,3850.0,208340.0,6.6,0.6,63.3,758.0,145476.0,5.6,0.3,62.9,4993.0,False
East Midlands,E12000004,2015-04-01,149909,4.3,0.6,63.7,5438.0,224939,4.5,0.3,63.9,139387,4.3,0.7,62.9,113424,3.9,1.2,63.4,86603,3.9,-0.5,67.9,127557,4.2,0.8,63.7,177264,4.3,0.5,63.7,150801,4.1,0.5,64.0,1839.0,149508,4.3,0.7,63.6,3597.0,207616.0,4.6,-0.3,63.1,630.0,146494.0,4.2,0.7,63.3,4808.0,False
East Midlands,E12000004,2015-05-01,151863,5.1,1.3,64.5,6611.0,227759,5.7,1.3,64.7,141433,5.3,1.5,63.8,114627,4.3,1.1,64.1,88218,4.8,1.9,69.2,129136,4.9,1.2,64.5,179657,5.3,1.4,64.6,152867,5.0,1.4,64.9,2119.0,151409,5.2,1.3,64.4,4490.0,209156.0,3.6,0.7,63.6,829.0,148475.0,5.3,1.4,64.2,5782.0,False
East Midlands,E12000004,2015-06-01,153067,5.0,0.8,65.0,7535.0,229276,5.8,0.7,65.2,142596,4.8,0.8,64.3,116034,4.3,1.2,64.8,87692,3.7,-0.6,68.8,130238,4.5,0.9,65.1,181005,5.2,0.8,65.1,154233,5.0,0.9,65.5,2272.0,152536,4.9,0.7,64.8,5253.0,206775.0,3.0,-1.1,62.8,1316.0,149906.0,5.1,1.0,64.8,6219.0,False
East Midlands,E12000004,2015-07-01,155205,5.6,1.4,66.0,7835.0,232602,5.8,1.5,66.1,144557,5.9,1.4,65.2,117378,4.9,1.2,65.6,89698,5.6,2.3,70.3,131988,5.5,1.3,66.0,183600,5.6,1.4,66.0,156250,5.5,1.3,66.3,2518.0,154731,5.6,1.4,65.8,5313.0,211717.0,5.6,2.4,64.3,626.0,151870.0,5.5,1.3,65.6,7209.0,False
East Midlands,E12000004,2015-08-01,157157,5.3,1.3,66.8,7429.0,236206,5.7,1.5,67.1,146163,5.3,1.1,65.9,118709,4.7,1.1,66.3,90489,5.2,0.9,71.0,133512,5.1,1.2,66.7,186046,5.4,1.3,66.9,158409,5.3,1.4,67.3,2381.0,156585,5.2,1.2,66.6,5043.0,212863.0,5.5,0.5,64.7,703.0,153876.0,5.2,1.3,66.5,6726.0,False
East Midlands,E12000004,2015-09-01,156162,4.5,-0.6,66.4,7073.0,235563,5.5,-0.3,67.0,144725,4.3,-1.0,65.3,117843,3.5,-0.7,65.9,90046,3.7,-0.5,70.6,132577,4.1,-0.7,66.3,184956,4.7,-0.6,66.5,157397,4.3,-0.6,66.8,2287.0,155598,4.5,-0.6,66.1,4775.0,211844.0,5.0,-0.5,64.4,815.0,152881.0,4.3,-0.6,66.1,6258.0,False
East Midlands,E12000004,2015-10-01,157700,6.2,1.0,67.0,8037.0,237334,6.8,0.8,67.5,146662,6.3,1.3,66.2,118998,5.8,1.0,66.5,90533,5.0,0.5,71.0,133983,6.0,1.1,67.0,186677,6.3,0.9,67.1,158875,6.3,0.9,67.4,2452.0,157164,6.2,1.0,66.8,5571.0,215539.0,6.4,1.7,65.5,781.0,154285.0,6.2,0.9,66.7,7256.0,False
